Received,time.monotonic,V-In (Channel 1),V-Out (Channel 1),V-Shunt (Channel 1),I-Shunt (Channel 1),Power-Calculated (Channel 1),Power (Channel 1),V-In (Channel 2),V-Out (Channel 2),V-Shunt (Channel 2),I-Shunt (Channel 2),Power-Calculated (Channel 2),Power (Channel 2)
2/11/2023 4:53:46 PM,12824.9,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.12041,5.112,0.00841,0.0843,0.430941,0.431
2/11/2023 4:53:48 PM,12826.2,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11228,5.104,0.00828,0.0829,0.423121,0.423
2/11/2023 4:53:49 PM,12827.4,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11229,5.104,0.00829,0.0828,0.422611,0.423
2/11/2023 4:53:50 PM,12828.7,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11239,5.104,0.00839,0.0835,0.426184,0.426
2/11/2023 4:53:51 PM,12829.9,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11631,5.108,0.00831,0.0815,0.416302,0.416
2/11/2023 4:53:53 PM,12831.2,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11629,5.108,0.00829,0.0838,0.42805,0.429
2/11/2023 4:53:54 PM,12832.4,5.13835,5.136,0.00235,0.0236,0.12121,0.121,5.11237,5.104,0.00837,0.0835,0.426184,0.428
2/11/2023 4:53:55 PM,12833.7,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11239,5.104,0.00839,0.0837,0.427205,0.401
2/11/2023 4:53:56 PM,12834.9,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11644,5.108,0.00844,0.0835,0.426518,0.421
2/11/2023 4:53:58 PM,12836.2,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11238,5.104,0.00838,0.0842,0.429756,0.429
2/11/2023 4:53:59 PM,12837.5,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11635,5.108,0.00835,0.0835,0.426518,0.429
2/11/2023 4:54:00 PM,12838.7,5.14636,5.144,0.00236,0.0236,0.121398,0.121,5.11229,5.104,0.00829,0.0832,0.424652,0.424
2/11/2023 4:54:01 PM,12840,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.1125,5.104,0.0085,0.0846,0.431798,0.429
2/11/2023 4:54:03 PM,12841.2,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11637,5.108,0.00837,0.0842,0.430093,0.429
2/11/2023 4:54:04 PM,12842.5,5.14236,5.14,0.00236,0.0235,0.12079,0.121,5.11235,5.104,0.00835,0.0839,0.428225,0.428
2/11/2023 4:54:05 PM,12843.7,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.1122,5.104,0.0082,0.0829999,0.423632,0.41
2/11/2023 4:54:06 PM,12845,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11237,5.104,0.00837,0.0836,0.426694,0.426
2/11/2023 4:54:08 PM,12846.3,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11627,5.108,0.00827,0.0828,0.422942,0.423
2/11/2023 4:54:09 PM,12847.5,5.14235,5.14,0.00235,0.0236,0.121304,0.121,5.11627,5.108,0.00827,0.0825,0.42141,0.421
2/11/2023 4:54:10 PM,12848.8,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11229,5.104,0.00829,0.0837,0.427205,0.428
2/11/2023 4:54:11 PM,12850,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11595,5.108,0.00795,0.0842,0.430093,0.431
2/11/2023 4:54:13 PM,12851.3,5.14236,5.14,0.00236,0.0236,0.121304,0.121,5.11642,5.108,0.00842,0.0834,0.426007,0.424
